Domain,Area,Element,Item,Year,Months,Value
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2012","August","1000"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2012","September","1000"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2012","October","900"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2012","November","900"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2012","December","950"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2013","January","1000"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2013","February","1000"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2013","March","950"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2013","April","1000"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2013","May","1000"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2013","June","1000"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2013","July","1200"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2013","August","1250"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2013","September","1150"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2013","October","1250"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2013","November","1200"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2013","December","1200"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2014","January","1200"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2014","February","1050"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2014","March","1000"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2014","April","1150"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2014","May","1000"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2014","June","900"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2014","July","850"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2014","August","850"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2014","September","1000"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2014","October","1000"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2014","November","950"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2014","December","1100"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2015","January","1150"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2016","January","1100"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2016","February","850"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2016","March","1050"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2016","April","1450"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2016","May","1050"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2016","June","900"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2016","July","1050"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2016","August","1350"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2016","September","1150"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2016","October","1150"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2016","November","1200"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2016","December","1250"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2017","January","1200"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2017","February","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2017","March","1400"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2017","April","1300"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2017","May","1200"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2017","June","1350"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2017","July","1300"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2017","August","1250"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2017","September","1350"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2017","October","1150"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2017","November","1200"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2017","December","1250"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2018","January","1350"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2018","February","1300"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2018","March","1150"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2018","April","1150"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2018","May","1150"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2018","June","1200"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2018","July","1200"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2018","August","1250"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2018","September","1150"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2018","October","1100"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2018","November","1200"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2018","December","1200"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2019","January","1400"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2019","February","1300"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2019","March","1050"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2019","April","1150"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2019","May","1150"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2019","June","1200"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2019","July","1350"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2019","August","1400"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2019","September","1250"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2019","October","1300"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2019","November","1350"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2019","December","1400"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2021","January","1650"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2021","February","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2021","March","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2021","April","1600"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2021","May","1400"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2021","June","1550"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2021","July","1700"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2021","August","1600"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2021","September","1350"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2021","October","1450"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2021","November","1650"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2021","December","1750"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2022","January","1700"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2022","February","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2022","March","1500"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2022","April","1850"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2022","May","1850"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2022","June","1850"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2022","July","1800"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2022","August","1850"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2022","September","1900"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2022","October","2000"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2022","November","2000"
"Producer Prices","Malaysia","Producer Price (LCU/tonne)","Watermelons","2022","December","2150"
